Regione,lunghezza_costa_km_2000,costa_protetta_km_2000,costa_protetta_percentuale_2000,lunghezza_costa_km_2006,costa_protetta_km_2006,costa_protetta_percentuale_2006,lunghezza_costa_km_2020,costa_protetta_km_2020,costa_protetta_percentuale_2020,lunghezza_spiagge_km,quota_spiaggia_percentuale,lunghezza_spiagge_protette_km,componente_spiagge_protette_percentuale,costa_naturale_km,costa_artificiale_km,tratti_fittizi_km
1,Veneto,153.81,69.54,45.21162473181198,159.206,74.222,46.62010225745261,158.732,84.552,53.2671421012,123.96904,78.0995892448,55.120049,44.462753765,57.654096,10.723651,16.174142
2,Friuli-Venezia Giulia,115.897,39.490986,34.074209,116.232,42.139,36.254216,115.482,45.069,39.026861329,46.712185,40.4497540742,15.983385,34.2167359544,20.949389,18.127279,5.992681
3,Liguria,377.312,123.042957,32.610401,377.51,132.43,35.079865,382.41,144.219,37.7131874166,105.706633,27.6422250987,65.054236,61.5422458873,84.22266,42.854158,17.142374
4,Emilia-Romagna,124.0,65.94,53.17741935483871,124.058,67.079,54.070676619000785,124.841,64.9,51.9861263527,98.120403,78.5962968896,51.989477,52.9853887779,52.453984,8.16244,4.284067
5,Toscana,649.638,64.487305,9.926652,646.047,73.061,11.30893,652.037,83.685,12.8343943672,229.124096,35.1397383891,44.737979,19.5256543424,56.366384,15.533802,11.784438
6,Marche,177.104,102.872636,58.086004,175.928,115.854,65.853076,178.622,120.725,67.5868594014,130.261624,72.9258568373,93.040845,71.4261362195,97.154057,18.881948,4.688736
7,Lazio,383.468,68.322776,17.817074,379.546,73.163,19.276451,385.707,97.356,25.2409212174,229.879219,59.5994418043,62.173106,27.0459880064,68.572483,13.221091,15.562355
8,Abruzzo,129.014,56.277433,43.621183,129.295,70.854,54.800263,130.077,78.496,60.3457951829,99.653238,76.6109596624,57.295704,57.4950750722,59.032714,15.760827,3.702708
9,Molise,37.06,19.180229,51.75453,36.621,24.345,66.47825,38.404,25.197,65.6103530882,33.158709,86.3418107489,21.326843,64.3174708641,21.355227,1.9096700000000002,1.9321929999999998
10,Campania,505.373,104.875819,20.752161,502.152,113.5,22.602718,511.456,137.231,26.8314380905,185.786804,36.3250805543,58.171657,31.3109735178,78.018658,41.292019,17.920526
11,Puglia,960.819,103.494369,10.771474,957.254,118.026,12.329643,957.533,121.542,12.6932439926,344.884775,36.0180562968,54.309004,15.7469995595,74.800111,29.857492,16.884197
12,Basilicata,65.783,0.261102,0.39691400000000004,65.572,0.9780000000000001,1.49149,68.728,5.809,8.45215923641,40.425208,58.8191246653,4.860644,12.023794658,5.006122,0.504455,0.298304
13,Calabria,734.278,99.064272,13.491385,734.381,111.982,15.248488,745.225,166.867,22.3914925023,566.84173,76.0631661579,99.989513,17.6397586324,110.203024,38.735203,17.929031
14,Sicilia,1609.164,189.436921,11.772381,1602.822,208.431,13.004002,1625.839,245.8,15.1183481267,640.590963,39.4006394852,130.154409,20.3178653021,156.038486,60.059873,29.956907
15,Sardegna,2163.573,67.21,3.106435511997977,2160.092,88.15,4.080844704762574,2253.952,94.759,4.20412679596,488.106084,21.6555669331,27.775657,5.69049596194,62.953218,22.306835,9.789038
16,ITALIA,8186.293,1173.4968050000002,14.334898653151068,8166.716,1314.214,16.092319115786566,8329.045000000002,1516.2069999999999,18.20385170208589,3363.2207110000004,40.4,841.9825079999999,25.0,1004.780613,337.930743,174.041697
