id,ORA,LIVELLO_IDROMETRICO_MEDIA ORARIA,TEMPERATURA ARIA,PRESSIONE ATMOSFERICA
1,09:00,-0.24750000000000003,12.5,1018.8
2,10:00,-0.31666666666666665,12.7,1018.8
3,11:00,-0.3638333333333333,11.6,1018.2
4,12:00,-0.371,11.6,1017.4
5,13:00,-0.33383333333333337,11.9,1016.4
6,14:00,-0.26616666666666666,12.3,1016.0
7,15:00,-0.19833333333333336,12.7,1015.6
8,16:00,-0.128,12.5,1015.6
9,17:00,-0.07966666666666666,12.1,1015.7
10,18:00,-0.05666666666666667,12.4,1015.6
11,19:00,-0.06749999999999999,12.3,1015.4
12,20:00,-0.102,12.2,1015.1
13,21:00,-0.13799999999999998,11.8,1015.2
14,22:00,-0.1991666666666667,11.2,1014.9
15,23:00,-0.22799999999999998,11.3,1014.6
16,00:00,-0.23900000000000002,11.3,1014.8
17,01:00,-0.21916666666666665,11.7,1014.7
18,02:00,-0.164,11.8,1014.6
19,03:00,-0.1045,11.8,1014.6
20,04:00,-0.04833333333333334,11.0,1014.9
21,05:00,-0.022333333333333334,11.3,1015.2
22,06:00,-0.025333333333333336,10.8,1015.6
23,07:00,-0.06166666666666667,10.5,1016.0
24,08:00,-0.10683333333333334,11.0,1016.2
